Date,AAPL,AXISBANK.NS,DRREDDY.NS,GOOGL,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTTS.NS,MARUTI.NS,MSFT,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
2025-11-04,269.5262756347656,1226.5999755859375,1200.0,277.1634521484375,985.25,2426.624267578125,1336.9000244140625,1467.9000244140625,400.5063171386719,1181.4000244140625,419.3200073242188,4090.300048828125,15374.0,512.2001342773438,1258.206787109375,271.3866882324219,1473.0999755859375,27600.0,1679.093017578125,179.2899932861328,2936.81201171875,11819.0,231.9320831298828
2025-11-05,269.6260986328125,1226.5999755859375,1200.0,283.9242553710937,985.25,2426.624267578125,1336.9000244140625,1467.9000244140625,400.5063171386719,1181.4000244140625,419.3200073242188,4090.300048828125,15374.0,505.0597839355469,1258.206787109375,271.3866882324219,1473.0999755859375,27600.0,1679.093017578125,179.2899932861328,2936.81201171875,11819.0,231.9320831298828
2025-11-06,269.2567749023437,1228.5,1205.199951171875,284.3636779785156,984.6500244140624,2417.0,1320.4000244140625,1466.699951171875,399.1350708007813,1168.800048828125,416.6400146484375,4100.60009765625,15452.0,495.04144287109375,1259.30078125,262.77978515625,1496.0999755859375,27450.0,1675.0194091796875,177.27000427246094,2957.142333984375,11910.0,234.00848388671875
2025-11-07,267.9592590332031,1222.800048828125,1205.4000244140625,278.45172119140625,982.2999877929688,2414.0,1343.0,1476.800048828125,395.7558898925781,1171.699951171875,417.6600036621094,4089.199951171875,15479.0,494.7626037597656,1255.9190673828125,264.53033447265625,1478.0,27375.0,1680.48388671875,181.3699951171875,2938.383544921875,11849.0,230.5380859375
2025-11-10,269.1781311035156,1217.0,1198.699951171875,289.7064208984375,984.5,2408.800048828125,1348.0,1513.5,397.22509765625,1179.300048828125,418.5400085449219,4086.5,15583.0,503.9046020507813,1256.1180419921875,265.2225646972656,1489.300048828125,27090.0,1686.8426513671875,181.47999572753903,2971.18701171875,11728.0,233.8037567138672
2025-11-11,274.99267578125,1222.5,1211.5,290.914794921875,991.7000122070312,2427.5,1358.300048828125,1530.300048828125,398.4984130859375,1191.5,417.3800048828125,4103.60009765625,15645.0,506.573486328125,1261.2901611328125,264.6786499023437,1493.4000244140625,27035.0,1705.0245361328125,181.0399932861328,2992.597900390625,11825.0,235.60720825195312
2025-11-12,273.21435546875,1221.5999755859375,1229.5999755859375,286.3210144042969,989.5,2424.5,1358.9000244140625,1551.699951171875,398.6453247070313,1181.800048828125,416.8999938964844,4181.10009765625,15696.0,509.0233154296875,1271.3358154296875,264.134765625,1511.5,27095.0,1720.9212646484375,178.61000061035156,3075.8837890625,11921.0,239.04835510253903
2025-11-13,272.6948547363281,1225.199951171875,1234.9000244140625,278.19207763671875,986.6500244140624,2407.60009765625,1385.9000244140625,1541.800048828125,397.3720397949219,1183.9000244140625,415.0400085449219,4156.7998046875,15749.0,501.205810546875,1268.3519287109375,266.854248046875,1510.9000244140625,26995.0,1726.18701171875,176.64999389648438,3050.249755859375,11934.0,239.1555938720703
2025-11-14,272.15533447265625,1241.5999755859375,1246.0,276.0350036621094,989.5999755859376,2427.699951171875,1373.0,1502.800048828125,399.771728515625,1167.800048828125,415.9400024414063,4086.5,15684.0,508.0672912597656,1264.7713623046875,268.2881164550781,1518.9000244140625,26700.0,1745.7598876953125,174.25999450683594,3050.54443359375,11874.0,238.21974182128903
2025-11-17,267.2099609375,1249.5999755859375,1244.4000244140625,284.63330078125,996.5499877929688,2425.0,1379.0,1507.5999755859375,398.7432861328125,1175.5,420.5799865722656,4105.39990234375,15878.0,505.388427734375,1263.4783935546875,270.5131530761719,1518.300048828125,26680.0,1752.5159912109375,173.1699981689453,3046.812255859375,11778.0,237.9078063964844
2025-11-18,267.19000244140625,1265.4000244140625,1243.800048828125,283.8943176269531,992.4500122070312,2404.0,1373.4000244140625,1486.4000244140625,397.5189514160156,1163.0,418.6199951171875,4074.5,15930.0,491.74517822265625,1258.30615234375,271.15594482421875,1519.4000244140625,26420.0,1747.448974609375,172.4499969482422,3031.98193359375,11707.0,234.8370819091797
2025-11-19,268.3089294433594,1270.4000244140625,1250.199951171875,292.4127502441406,994.5999755859376,2441.60009765625,1383.0999755859375,1541.0999755859375,395.2661437988281,1164.9000244140625,421.1799926757813,4440.0,15768.0,485.102783203125,1272.131591796875,272.09539794921875,1518.9000244140625,26510.0,1772.5855712890625,173.2100067138672,3091.499755859375,11666.0,239.87696838378903
2025-11-20,266.0010986328125,1285.199951171875,1248.5999755859375,289.05731201171875,1008.8499755859376,2428.39990234375,1383.0,1536.5,397.1271667480469,1170.0,419.739990234375,4331.2998046875,15801.0,477.3404846191406,1272.3304443359375,274.1226501464844,1549.0999755859375,26480.0,1765.928955078125,172.4600067138672,3088.65185546875,11753.0,240.0621795654297
2025-11-21,271.2361755371094,1275.800048828125,1243.9000244140625,299.25347900390625,998.0499877929688,2433.699951171875,1369.5,1545.0,399.4779052734375,1140.300048828125,417.55999755859375,4265.39990234375,15977.0,471.04486083984375,1273.8223876953125,274.5181884765625,1546.5999755859375,26480.0,1768.2139892578125,168.0,3094.34814453125,11729.0,238.3367462158203
