Stock1,Stock2,Correlation
ULTRACEMCO.NS,ITC.NS,0.2689020833554589
WIPRO.NS,ITC.NS,0.12080699947464814
AAPL,JSWSTEEL.NS,0.10041956315791298
AXISBANK.NS,JSWSTEEL.NS,0.4563741648898619
DRREDDY.NS,JSWSTEEL.NS,0.30530658513370207
GOOGL,JSWSTEEL.NS,0.03759316297867283
HDFCBANK.NS,JSWSTEEL.NS,0.4236941733554903
HINDUNILVR.NS,JSWSTEEL.NS,0.15372500346801715
ICICIBANK.NS,JSWSTEEL.NS,0.4141622284822973
INFY.NS,JSWSTEEL.NS,0.27340705299583934
ITC.NS,JSWSTEEL.NS,0.22940335537106749
JSWSTEEL.NS,JSWSTEEL.NS,1.0
KOTAKBANK.NS,JSWSTEEL.NS,0.3682913371042426
LTTS.NS,JSWSTEEL.NS,0.2695200409561562
MARUTI.NS,JSWSTEEL.NS,0.39770441261520767
MSFT,JSWSTEEL.NS,0.025711842639465403
NESTLEIND.NS,JSWSTEEL.NS,0.2885085729412585
POWERGRID.NS,JSWSTEEL.NS,0.4504259317542607
RELIANCE.NS,JSWSTEEL.NS,0.43163288659292026
SHREECEM.NS,JSWSTEEL.NS,0.4380588333247986
SUNPHARMA.NS,JSWSTEEL.NS,0.30865681077478047
TATASTEEL.NS,JSWSTEEL.NS,0.7534824244089272
TCS.NS,JSWSTEEL.NS,0.25919104214934313
ULTRACEMCO.NS,JSWSTEEL.NS,0.5447029194770393
WIPRO.NS,JSWSTEEL.NS,0.3366236049828746
AAPL,KOTAKBANK.NS,0.04960136780137673
AXISBANK.NS,KOTAKBANK.NS,0.38612402854708455
DRREDDY.NS,KOTAKBANK.NS,0.09282800961865897
GOOGL,KOTAKBANK.NS,0.018220556989812155
HDFCBANK.NS,KOTAKBANK.NS,0.4436321593616079
HINDUNILVR.NS,KOTAKBANK.NS,0.2354627766233365
ICICIBANK.NS,KOTAKBANK.NS,0.389776408121259
INFY.NS,KOTAKBANK.NS,0.1763177956262763
ITC.NS,KOTAKBANK.NS,0.26518581892703363
JSWSTEEL.NS,KOTAKBANK.NS,0.3682913371042426
KOTAKBANK.NS,KOTAKBANK.NS,1.0
LTTS.NS,KOTAKBANK.NS,0.21712926966918664
MARUTI.NS,KOTAKBANK.NS,0.29920331489678637
MSFT,KOTAKBANK.NS,0.05936343578131661
NESTLEIND.NS,KOTAKBANK.NS,0.21826824574511378
POWERGRID.NS,KOTAKBANK.NS,0.2599605038058157
RELIANCE.NS,KOTAKBANK.NS,0.32982579681269764
SHREECEM.NS,KOTAKBANK.NS,0.30310748030132934
SUNPHARMA.NS,KOTAKBANK.NS,0.1546086740668958
TATASTEEL.NS,KOTAKBANK.NS,0.32279748596304375
TCS.NS,KOTAKBANK.NS,0.18186534505964433
ULTRACEMCO.NS,KOTAKBANK.NS,0.3861544748643479
WIPRO.NS,KOTAKBANK.NS,0.221980606984511
AAPL,LTTS.NS,0.038757597839930914
AXISBANK.NS,LTTS.NS,0.19240204340631425
DRREDDY.NS,LTTS.NS,0.18930796561222435
GOOGL,LTTS.NS,0.05350708128712356
HDFCBANK.NS,LTTS.NS,0.23553404912969897
HINDUNILVR.NS,LTTS.NS,0.20105641687839892
ICICIBANK.NS,LTTS.NS,0.21652787148014324
INFY.NS,LTTS.NS,0.3805559792284342
ITC.NS,LTTS.NS,0.1783319663356657
JSWSTEEL.NS,LTTS.NS,0.2695200409561562
KOTAKBANK.NS,LTTS.NS,0.21712926966918664
LTTS.NS,LTTS.NS,1.0
MARUTI.NS,LTTS.NS,0.20595231743430947
MSFT,LTTS.NS,0.07022685392618772
NESTLEIND.NS,LTTS.NS,0.1967444827943646
POWERGRID.NS,LTTS.NS,0.21084176207155236
RELIANCE.NS,LTTS.NS,0.27618134314938725
SHREECEM.NS,LTTS.NS,0.2214372987700173
SUNPHARMA.NS,LTTS.NS,0.15720966753807664
TATASTEEL.NS,LTTS.NS,0.2902133935226356
TCS.NS,LTTS.NS,0.40846364505289173
ULTRACEMCO.NS,LTTS.NS,0.2169613880422687
WIPRO.NS,LTTS.NS,0.3474031154171664
AAPL,MARUTI.NS,0.10357988138766704
AXISBANK.NS,MARUTI.NS,0.3498173880743167
DRREDDY.NS,MARUTI.NS,0.22738298041123156
GOOGL,MARUTI.NS,0.07412944538646715
HDFCBANK.NS,MARUTI.NS,0.3382987070503552
HINDUNILVR.NS,MARUTI.NS,0.2500026083931406
ICICIBANK.NS,MARUTI.NS,0.2953240295237022
INFY.NS,MARUTI.NS,0.1870308934681484
ITC.NS,MARUTI.NS,0.25740430844411616
JSWSTEEL.NS,MARUTI.NS,0.39770441261520767
KOTAKBANK.NS,MARUTI.NS,0.29920331489678637
LTTS.NS,MARUTI.NS,0.20595231743430947
MARUTI.NS,MARUTI.NS,1.0
MSFT,MARUTI.NS,0.05926048966751776
NESTLEIND.NS,MARUTI.NS,0.3195745787650198
POWERGRID.NS,MARUTI.NS,0.2521555024474556
RELIANCE.NS,MARUTI.NS,0.3675121890971986
SHREECEM.NS,MARUTI.NS,0.3558941690208797
SUNPHARMA.NS,MARUTI.NS,0.20871818928252325
TATASTEEL.NS,MARUTI.NS,0.36647876387089984
TCS.NS,MARUTI.NS,0.2090545246711302
ULTRACEMCO.NS,MARUTI.NS,0.43649971780466806
WIPRO.NS,MARUTI.NS,0.14494214471270273
AAPL,MSFT,0.41669204802912374
AXISBANK.NS,MSFT,-0.024737897202998415
DRREDDY.NS,MSFT,0.050983962022681115
GOOGL,MSFT,0.4196723664761633
HDFCBANK.NS,MSFT,0.019488986869449037
HINDUNILVR.NS,MSFT,0.06677553665691555
ICICIBANK.NS,MSFT,0.03725831689409169
INFY.NS,MSFT,0.1032019052058871
ITC.NS,MSFT,0.07285506295592718
JSWSTEEL.NS,MSFT,0.025711842639465403
KOTAKBANK.NS,MSFT,0.05936343578131661
LTTS.NS,MSFT,0.07022685392618772
MARUTI.NS,MSFT,0.05926048966751776
MSFT,MSFT,1.0
NESTLEIND.NS,MSFT,0.023166920023970052
POWERGRID.NS,MSFT,0.001506867077598781
RELIANCE.NS,MSFT,0.05439005192268062
SHREECEM.NS,MSFT,0.08368098985384294
SUNPHARMA.NS,MSFT,0.03869517291873682
TATASTEEL.NS,MSFT,0.05632358356386958
TCS.NS,MSFT,0.12115443400865086
ULTRACEMCO.NS,MSFT,0.09082138861479432
WIPRO.NS,MSFT,0.06983878112067886
AAPL,NESTLEIND.NS,-0.011570423325761506
AXISBANK.NS,NESTLEIND.NS,0.2561160874538133
DRREDDY.NS,NESTLEIND.NS,0.15690525332742386
GOOGL,NESTLEIND.NS,0.006677081694175255
HDFCBANK.NS,NESTLEIND.NS,0.19433323062123198
HINDUNILVR.NS,NESTLEIND.NS,0.573309704079188
ICICIBANK.NS,NESTLEIND.NS,0.22235538535235022
INFY.NS,NESTLEIND.NS,0.1502303408528018
ITC.NS,NESTLEIND.NS,0.3808084623762844
JSWSTEEL.NS,NESTLEIND.NS,0.2885085729412585
KOTAKBANK.NS,NESTLEIND.NS,0.21826824574511378
LTTS.NS,NESTLEIND.NS,0.1967444827943646
MARUTI.NS,NESTLEIND.NS,0.3195745787650198
MSFT,NESTLEIND.NS,0.023166920023970052
NESTLEIND.NS,NESTLEIND.NS,1.0
POWERGRID.NS,NESTLEIND.NS,0.21685033882620836
RELIANCE.NS,NESTLEIND.NS,0.2535792501497484
SHREECEM.NS,NESTLEIND.NS,0.2967235952077108
SUNPHARMA.NS,NESTLEIND.NS,0.1720938234133488
TATASTEEL.NS,NESTLEIND.NS,0.21678987487950468
TCS.NS,NESTLEIND.NS,0.22969852398990562
