portfolio_type,expected_return,volatility,sharpe,w_AAPL,w_AXISBANK.NS,w_DRREDDY.NS,w_GOOGL,w_HDFCBANK.NS,w_HINDUNILVR.NS,w_ICICIBANK.NS,w_INFY.NS,w_ITC.NS,w_JSWSTEEL.NS,w_KOTAKBANK.NS,w_LTTS.NS,w_MARUTI.NS,w_MSFT,w_NESTLEIND.NS,w_POWERGRID.NS,w_RELIANCE.NS,w_SHREECEM.NS,w_SUNPHARMA.NS,w_TATASTEEL.NS,w_TCS.NS,w_ULTRACEMCO.NS,w_WIPRO.NS
random,0.11448714171633452,0.12021938472705863,0.38807226046716337,0.07497685533794622,0.06975714437330327,0.03682357354384797,0.056535347903371995,0.06401280509518996,0.035465630430912734,0.0700997924266921,0.02443546525803853,0.01641927624759046,0.07679674665673775,0.030339713576139522,0.00507613168194494,0.07445394376231051,0.07144236410425477,0.07174411778370907,0.030479418391984387,0.05393829560000962,0.001244228326520997,0.0002043361072660402,0.023181775677248696,0.046969326605131666,0.053675986584949986,0.011927724524898611
random,0.11465059612643456,0.1216199452497778,0.3849472444421019,0.07830646361827497,0.062030381782794526,0.039842756664695084,0.06869975243729497,0.006177477567275212,0.06026498192170737,0.0779158056487883,0.06669396265502031,0.0351704022743135,0.028215380899669112,0.0727088086947361,0.02375028282207942,0.07637777351134176,0.026059458887990734,0.01018547285793692,0.01921892172317988,0.04232444789032592,0.010681750151412104,0.030956678095262435,0.07380379948852649,0.00764941385148558,0.050069455061130745,0.03289637149475848
random,0.11529511820027719,0.12364739457589934,0.3838478362583701,0.04453821975031287,0.08388618586543851,0.002347267933217338,0.08227598860066662,0.0490346367787609,0.0663825201052017,0.03688262260246731,0.036347899554946994,0.003127453803283281,0.04178754233991338,0.04026555880237989,0.022165412850052805,0.024387186235925194,0.057598787741001585,0.03133369229169369,0.08186656936142098,0.010983072098125614,0.05695838765493923,0.015781129333109625,0.05208689971518035,0.05448350758136484,0.0633334383619512,0.04214602063864615
random,0.11251597137240778,0.1164852054203969,0.3835906704015686,0.07868483003113247,0.04103478393702567,0.025585373665236274,0.07831358016233782,0.035692015785253356,0.048584497901154426,0.08939512926573727,0.017071414417420678,0.027591399979611082,0.002844233416564954,0.03587036543409868,0.018325578746820396,0.06225307320889112,0.016598879644503853,0.06177501403309291,0.024119577194920673,0.03251803794372265,0.031936076487775474,0.06561427487364677,0.04270609317057759,0.0330747225318313,0.0780524378737833,0.05235861029486117
random,0.11300111413873147,0.11823414268152031,0.38201977686820726,0.08171842906883629,0.087931195697467,0.024054134055869657,0.044074598500298615,0.06396882204595648,0.05929913563181066,0.10195421800089828,0.028194186645861652,0.007280105218894299,0.03958085233896548,0.05286266332730769,0.03951729703626304,0.03259072948977406,0.026253014339411018,0.04362426548610933,0.07033224737201574,0.015191562833950492,0.08832669712226915,0.06542575431932292,0.01095703087710835,0.0024001458325587544,0.005240928050917663,0.009221986708133203
random,0.11480074794122919,0.12320453068640352,0.3812149954732068,0.07204927359110147,0.05742016113645319,0.03262994300919488,0.061497667002170325,0.027536204112708233,0.04210768303495057,0.07447118039605538,0.01615321376253764,0.02526459778324253,0.0714696996425937,0.03727478910283097,0.025654458110984397,0.0030101000271761194,0.033810603531083255,0.04039981617319023,0.0327921228540845,0.02239168428778524,0.02978976837422013,0.051846971917469176,0.07192859949300001,0.05243053442795969,0.05214699495968291,0.06592393326952535
random,0.11359727228186686,0.120257638918548,0.38054912236826843,0.0610830444554505,0.07539263609584128,0.037609743212144664,0.05149374457745293,0.06974352278379863,0.054149880342609105,0.07484209404141669,0.019059810967925795,0.010476602525551187,0.011575292874840305,0.06616511155145867,0.004101369322752901,0.06286680303645191,0.03602439717331728,0.05365419929546271,0.05787057577129499,0.03294225040311349,0.011339194396584571,0.047890690032548304,0.0742465342381364,0.001982985813291014,0.01761707092656089,0.06787244616199581
random,0.1147236120044066,0.12430425834297462,0.37722182084619976,0.0813307443222672,0.08057132641186904,0.0688927571241574,0.050511784947261246,0.06289910530694058,0.014945416252627556,0.040208923241259305,0.021598223173199906,0.0002933695455983094,0.0811481819560795,0.07251165374784271,0.04311998421735532,0.021333603514718982,0.05816850396797181,0.03649730645436696,0.06743335091183333,0.08389978790353023,0.029302077101843807,0.020515249600703344,0.02244414970623895,0.007835506064798938,0.03307633145793695,0.0014626630695984647
random,0.11295608272484475,0.11973024238315672,0.3768701081144657,0.06770670710109102,0.0075191398032560235,0.009440614571388218,0.06921806774837293,0.061055316147752475,0.049755030135366064,0.072660639993465,0.0753864210693508,0.04051149545002826,0.08821960336249718,0.03166275420738452,0.01518655734617697,0.07490896779829607,0.03679764483114223,0.07743462214138941,0.005416117395507446,0.009833369607911013,0.003566037219253813,0.05330647207291508,0.07365936446882915,0.035654543242055706,0.008030841253455408,0.0330696730331153
random,0.11512868304490746,0.12581418907821398,0.3759142753141492,0.06576005877668503,0.06755024734648196,0.015092008996738376,0.07057543754661572,0.0661373038987182,0.01537949737265842,0.029563011970352205,0.02527352853086977,0.037400451452225696,0.0667347463222662,0.06563479247935029,0.01318725658641334,0.04137198884579279,0.040088441298774743,0.03381013022675513,0.053651250721125934,0.04849112671705415,0.020651546669958824,0.026136247476808854,0.0666873036885169,0.024454778424805163,0.03333623347247332,0.07303261117855897
random,0.11311748910929997,0.12093126072977951,0.3744619505551502,0.0639129813605981,0.013292621728913762,0.033268464137067515,0.07505550164260147,0.01401197091219411,0.005024028429895596,0.05335940069618199,0.04854733933939321,0.0777388106856428,0.07401840229206783,0.06119533656637935,0.0015642995466153896,0.03922638125882497,0.07317191872620592,0.0354101256578768,0.07856477653687002,0.05327942675139425,0.00893780909738525,0.04158501770355896,0.05680117232050982,0.005337755593317403,0.02814263257499915,0.058553826441506474
random,0.11574497088420417,0.12796649539971158,0.3744076713300289,0.0584653064586377,0.0033542038990214294,0.004292948742764035,0.07522396599410229,0.011720511178977015,0.0013168240790328912,0.08592321919287024,0.025004308821308746,0.05484113581225574,0.07899822902558605,0.0702397738532236,0.004390798370691716,0.052822812624241613,0.051019437552807356,0.03296597287552275,0.0709607065752023,0.0907774457129253,0.013860114177539254,0.013675297449812555,0.06918782951959979,0.04279099470387056,0.07488331910021202,0.013284844279795127
random,0.11452316929665786,0.12493033843206028,0.3737269629563636,0.006575584597371766,0.03361957629460078,0.002985810032078133,0.1002092085094092,0.0339859807446458,0.010455613129346219,0.00027728882848509633,0.06733828259934055,0.0683795965790881,0.109558745603333,0.0317809395282332,0.005123241122979655,0.08582368324696237,0.03353982189615204,0.036411366738801174,0.09995749051594231,0.06335837099009897,0.044085526423852196,0.10467309543010736,0.029213215388156095,0.002365095247710925,0.02542342287403305,0.004859043679271854
